"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 04 22:20:31 MSK 2025","Fri Jul 04 22:25:15 MSK 2025","284803","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","testQuestionIconAndArrowPresence","testQuestionIconAndArrowPresence()","Проверка: у каждого продукта есть иконка вопроса и стрелка, если должны быть"
"passed","Fri Jul 04 18:58:38 MSK 2025","Fri Jul 04 19:03:32 MSK 2025","294152","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","specializationDeterminedForOnlineConsultation","specializationDeterminedForOnlineConsultation()","Специализация определяется для онлайн-консультации"
"failed","Fri Jul 04 22:38:50 MSK 2025","Fri Jul 04 22:40:55 MSK 2025","125640","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingReadmissionWithVideo","addingReadmissionWithVideo()","Добавление повторного приёма с видеоконсультацией"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup27","checkup27()","Checkup 27 y.o. user"
"skipped","Fri Jul 04 18:49:34 MSK 2025","Fri Jul 04 18:49:34 MSK 2025","0","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","questionnaireDoesNotOpenForChildPatientOffline","questionnaireDoesNotOpenForChildPatientOffline()","Проверка, что опросник не открывается для пациентов-детей при регистрации в клиники"
"passed","Fri Jul 04 17:39:08 MSK 2025","Fri Jul 04 17:42:26 MSK 2025","198223","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","injuryTests","injuryTests()","Добавить и удалить травму"
"broken","Fri Jul 04 22:43:11 MSK 2025","Fri Jul 04 22:46:13 MSK 2025","181408","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingOnlineConsultationWithAudio","addingOnlineConsultationWithAudio()","Добавление онлайн-консультации с аудио"
"failed","Fri Jul 04 22:27:40 MSK 2025","Fri Jul 04 22:29:54 MSK 2025","133191","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingDecipheringAnalyzes","addingDecipheringAnalyzes()","Добавление расшифровки анализов заочно"
"passed","Fri Jul 04 17:42:26 MSK 2025","Fri Jul 04 17:46:22 MSK 2025","235709","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","medicineTests","medicineTests()","Добавить и удалить медикамент"
"failed","Fri Jul 04 22:04:22 MSK 2025","Fri Jul 04 22:09:25 MSK 2025","302633","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","testProductOrderInEachSection","testProductOrderInEachSection()","Проверка: порядок продуктов в каждой секции соответствует макету"
